FileSystem\_ConfigurationFile.cpp:37    | Configuration file Uploader.conf is parsed
Uploader\Uploader.cpp:38                | 
Uploader\Uploader.cpp:50                | Prepare list files ...
Uploader\Uploader.cpp:55                | 
Uploader\Uploader.cpp:63                | 
FileSystem\_ListFiles.cpp:283           | 
FileSystem\_ListFiles.cpp:292           | 
FileSystem\_FileSystem.cpp:100  *ERROR* | Can't open file "log\Uploader.log"
Utils\_SystemUtils.cpp:28       *ERROR* | C:\My\prog\TankistU3D\src\common_files\FileSystem\_FileSystem.cpp:102 : Error 32 : Процесс не может получить доступ к файлу, так как этот файл занят другим процессом.
Utils\_SystemUtils.cpp:28       *ERROR* | C:\My\prog\TankistU3D\src\common_files\FileSystem\_FileSystem.cpp:379 : Error 6 : Неверный дескриптор.
FileSystem\_ListFiles.cpp:300           | 
Uploader\Uploader.cpp:67                | 
Uploader\Uploader.cpp:73                | ... done
Uploader\Uploader.cpp:42                | 
Network\_SocketsTCP.cpp:30      *ERROR* | 0 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 1 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

Network\_SocketsTCP.cpp:30      *ERROR* | 2 - Connect to 127.0.0.1:30000 failed. Error : Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение.

